If you wish to use the halos modules, you need the Aemulus HMF emulator. Please install it: github.com/AemulusProject/hmf_emulator
If you wish to use the halos modules, you need the Aemulus HMF emulator. Please install it: github.com/AemulusProject/hmf_emulator
         5220300 function calls (5110457 primitive calls) in 8.625 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2032    1.206    0.001    1.206    0.001 {method 'read' of '_io.BufferedReader' objects}
  201/199    1.006    0.005    1.025    0.005 {built-in method _imp.create_dynamic}
    10842    0.465    0.000    0.465    0.000 {built-in method posix.stat}
     2032    0.430    0.000    0.430    0.000 {built-in method marshal.loads}
     9721    0.217    0.000    0.338    0.000 inspect.py:863(cleandoc)
      255    0.174    0.001    0.174    0.001 {built-in method posix.listdir}
     2032    0.134    0.000    0.134    0.000 {built-in method io.open_code}
5590/5080    0.113    0.000    1.938    0.000 {built-in method builtins.__build_class__}
   2474/1    0.087    0.000    8.634    8.634 {built-in method builtins.exec}
  201/167    0.085    0.000    0.351    0.002 {built-in method _imp.exec_dynamic}
    12812    0.072    0.000    0.072    0.000 {method 'sub' of 're.Pattern' objects}
    13806    0.069    0.000    0.158    0.000 _docscrape.py:67(read_to_condition)
     6979    0.068    0.000    0.068    0.000 {method 'findall' of 're.Pattern' objects}
 2966/699    0.068    0.000    0.174    0.000 _parser.py:516(_parse)
683796/677905    0.068    0.000    0.070    0.000 {built-in method builtins.len}
   281747    0.063    0.000    0.063    0.000 {method 'startswith' of 'str' objects}
158917/155461    0.063    0.000    0.170    0.000 {built-in method builtins.getattr}
    10673    0.061    0.000    0.130    0.000 _docscrape.py:168(_is_at_section)
        1    0.059    0.059    0.059    0.059 radau.py:179(Radau)
     3019    0.058    0.000    0.735    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
335195/335194    0.056    0.000    0.066    0.000 {built-in method builtins.isinstance}
       80    0.053    0.001    0.062    0.001 traitlets.py:241(getmembers)
27741/1031    0.052    0.000    0.110    0.000 copy.py:128(deepcopy)
    21944    0.051    0.000    0.051    0.000 {built-in method posix.lstat}
73057/73026    0.050    0.000    0.066    0.000 {method 'join' of 'str' objects}
     2302    0.044    0.000    0.862    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
2059/2058    0.043    0.000    0.172    0.000 <frozen posixpath>:418(_joinrealpath)
    22294    0.043    0.000    0.068    0.000 <frozen posixpath>:71(join)
     2032    0.038    0.000    1.954    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
        4    0.038    0.009    0.041    0.010 _codata.py:1995(parse_constants_2002to2014)
    89185    0.038    0.000    0.046    0.000 _docscrape.py:64(eof)
3429/3406    0.038    0.000    0.104    0.000 core.py:2394(_expand_and_gather)
    33833    0.037    0.000    0.037    0.000 {method 'split' of 'str' objects}
     6971    0.037    0.000    0.204    0.000 textwrap.py:419(dedent)
      751    0.037    0.000    0.037    0.000 {built-in method builtins.dir}
   173486    0.037    0.000    0.037    0.000 {built-in method builtins.min}
 5237/604    0.036    0.000    0.082    0.000 _compiler.py:37(_compile)
        1    0.034    0.034    0.035    0.035 baseconfig.py:107(set_cl_template_file)
64488/55902    0.034    0.000    1.119    0.000 {built-in method builtins.hasattr}
    12417    0.033    0.000    0.033    0.000 {method 'search' of 're.Pattern' objects}
12688/9782    0.032    0.000    0.577    0.000 {built-in method __new__ of type object at 0x596340715600}
      190    0.032    0.000    0.301    0.002 inspect.py:969(getmodule)
     1562    0.032    0.000    0.081    0.000 inspect.py:2331(_signature_from_function)
   235801    0.031    0.000    0.031    0.000 {method 'lstrip' of 'str' objects}
    20713    0.031    0.000    0.044    0.000 _docscrape.py:57(seek_next_non_empty_line)
      648    0.030    0.000    0.031    0.000 {built-in method builtins.eval}
  2371/11    0.027    0.000    8.633    0.785 <frozen importlib._bootstrap>:1165(_find_and_load)
      492    0.027    0.000    0.027    0.000 {built-in method builtins.compile}
    10881    0.026    0.000    0.044    0.000 inspect.py:2669(__init__)
    16217    0.026    0.000    0.352    0.000 __init__.py:272(_compile)
    77749    0.025    0.000    0.025    0.000 _docscrape.py:43(__getitem__)
      249    0.025    0.000    0.070    0.000 artist.py:1594(get_setters)
      103    0.025    0.000    0.026    0.000 {method 'read' of '_io.TextIOWrapper' objects}
    16582    0.024    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     4063    0.024    0.000    0.072    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
132065/130667    0.024    0.000    0.036    0.000 {method 'get' of 'dict' objects}
      345    0.023    0.000    0.025    0.000 {built-in method io.open}
     2167    0.023    0.000    0.023    0.000 {method '__exit__' of '_io._IOBase' objects}
   173851    0.023    0.000    0.023    0.000 {method 'append' of 'list' objects}
     5151    0.023    0.000    0.251    0.000 artist.py:1544(get_valid_values)
    25786    0.023    0.000    0.030    0.000 _docscrape.py:91(peek)
    16582    0.023    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     1264    0.023    0.000    0.200    0.000 _docscrape.py:224(_parse_param_list)
     1699    0.022    0.000    0.028    0.000 _compiler.py:243(_optimize_charset)
   165207    0.022    0.000    0.022    0.000 {method 'strip' of 'str' objects}
  2311/11    0.022    0.000    8.633    0.785 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
       33    0.022    0.001    0.055    0.002 __init__.py:881(_rc_params_in_file)
        2    0.021    0.011    0.021    0.011 {built-in method _ctypes.dlopen}
      249    0.021    0.000    0.038    0.000 artist.py:1527(<listcomp>)
8484/5881    0.020    0.000    0.237    0.000 functools.py:981(__get__)
    56225    0.020    0.000    0.027    0.000 _docscrape.py:80(is_empty)
