         106992 function calls (103774 primitive calls) in 0.357 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.001    0.000    0.882    0.088 __init__.py:1(<module>)
    113/1    0.001    0.000    0.357    0.357 {built-in method builtins.exec}
        1    0.000    0.000    0.357    0.357 curve_fit.py:1(<module>)
    137/3    0.001    0.000    0.357    0.119 <frozen importlib._bootstrap>:1022(_find_and_load)
    137/3    0.001    0.000    0.357    0.119 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    127/2    0.001    0.000    0.353    0.176 <frozen importlib._bootstrap>:664(_load_unlocked)
    112/2    0.001    0.000    0.353    0.176 <frozen importlib._bootstrap_external>:877(exec_module)
    192/3    0.000    0.000    0.352    0.117 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    362/9    0.001    0.000    0.319    0.035 {built-in method builtins.__import__}
   210/35    0.001    0.000    0.313    0.009 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        2    0.000    0.000    0.181    0.090 __config__.py:1(<module>)
  127/118    0.000    0.000    0.133    0.001 <frozen importlib._bootstrap>:564(module_from_spec)
      7/6    0.000    0.000    0.128    0.021 <frozen importlib._bootstrap_external>:1174(create_module)
      7/6    0.105    0.015    0.128    0.021 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.123    0.123 multiarray.py:1(<module>)
        1    0.000    0.000    0.122    0.122 overrides.py:1(<module>)
        1    0.000    0.000    0.081    0.081 _index_tricks_impl.py:1(<module>)
      112    0.002    0.000    0.081    0.001 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.072    0.072 defmatrix.py:1(<module>)
        1    0.000    0.000    0.068    0.068 _linalg.py:1(<module>)
      112    0.001    0.000    0.058    0.001 <frozen importlib._bootstrap_external>:1070(get_data)
      133    0.001    0.000    0.058    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      125    0.000    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      125    0.001    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      112    0.054    0.000    0.054    0.000 {method 'read' of '_io.BufferedReader' objects}
      209    0.003    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
      490    0.000    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      492    0.041    0.000    0.041    0.000 {built-in method posix.stat}
  247/172    0.001    0.000    0.040    0.000 typing.py:306(inner)
        1    0.000    0.000    0.023    0.023 npyio.py:1(<module>)
        1    0.000    0.000    0.022    0.022 _npyio_impl.py:1(<module>)
        1    0.000    0.000    0.020    0.020 _dtype_like.py:1(<module>)
       90    0.000    0.000    0.019    0.000 typing.py:401(__getitem__)
       90    0.001    0.000    0.019    0.000 typing.py:483(Union)
        1    0.000    0.000    0.019    0.019 numeric.py:1(<module>)
       60    0.000    0.000    0.018    0.000 typing.py:1040(__or__)
      112    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.000    0.000    0.017    0.017 format.py:1(<module>)
      208    0.003    0.000    0.017    0.000 typing.py:1016(__init__)
        1    0.000    0.000    0.016    0.016 _utils_impl.py:1(<module>)
      112    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.016    0.016 _testutils.py:1(<module>)
        1    0.000    0.000    0.015    0.015 platform.py:1(<module>)
        1    0.000    0.000    0.014    0.014 shape_base.py:1(<module>)
  200/199    0.004    0.000    0.014    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.013    0.013 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.012    0.012 _array_like.py:1(<module>)
      126    0.000    0.000    0.011    0.000 re.py:288(_compile)
       19    0.000    0.000    0.011    0.001 re.py:249(compile)
        1    0.000    0.000    0.011    0.011 shutil.py:1(<module>)
       20    0.000    0.000    0.011    0.001 sre_compile.py:783(compile)
        1    0.000    0.000    0.010    0.010 _char_codes.py:1(<module>)
       50    0.000    0.000    0.010    0.000 typing.py:407(__getitem__)
        1    0.000    0.000    0.010    0.010 subprocess.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _methods.py:1(<module>)
      265    0.001    0.000    0.009    0.000 overrides.py:142(decorator)
